Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність/відсутність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Область,Квартал,Рік
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмне забезпечення 1С:Бухгалтерія 8 для України,"01032 м.Київ, вул. Саксаганського, 143-а",2016-09-30,9360,обтяження відсутнє,,,,8112,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,Київ,2,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","КП ""M.E.Doc""","01032 м.Київ, вул. Саксаганського, 143-а",2016-09-30,1590,обтяження відсутнє,,,,530,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,Київ,2,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмний комплекс ""Freedom""","01032 м.Київ, вул. Саксаганського, 143-а",2016-09-30,180,обтяження відсутнє,,,,"112,5","Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,Київ,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Справи Справедливості"" Свідоцтво серії КВ № 22713-12613Р","01032 м.Київ, вул. Саксаганського, 143-а",2017-05-30,850,обтяження відсутнє,,,,,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,Київ,2,2017
