Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"м. Київ, вул. Маршала Конєва, буд. 8, кабінет 71",10,,01.07.2021,6940,позичка (безоплатне користування),,,Юридична особа,МИР,2021-12-31,4,2021
Нежитлова будівля,"м. Київ, вул. Маршала Конєва, буд. 8, кабінет 71",10,,01.07.2021,6940,позичка (безоплатне користування),,,Юридична особа,МИР,2021-09-30,3,2021
Нежитлова будівля,"м. Київ, вул. Маршала Конєва, буд. 8, кабінет 71",10,,01.12.2017,9630.9,позичка (безоплатне користування),,,Юридична особа,МИР,2021-06-30,2,2021
