Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"м. Мукачево, вул. Недецеї, б. 3кв. 4",63.9,,23.04.2004,12044,Власність,ПЗУ,00047728,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2024-06-30,2,2024
Офіс,"м. Павлоград, вул. К. Маркса б. 96/2кв. 3",45.1,,03.06.2004,8446,Власність,ПЗУ,00047728,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2024-06-30,2,2024
