"Вид нематеріального активу","Назва нематеріального активу","Місцезнаходження обʼєкта","Дата придбання","Вартість придбання","Наявність обтяжень","Дата відчуження","Вартість відчуження майна","Сума доходу (грн)","Балансова вартість на кінець звітного періоду (грн)","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Квартал","Рік"
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція ""BAS Бухгалтерія ПРОФ""","Одеська обл., м. Одеса, вул. ТРАНСПОРТНА, буд. 10, кв. 12","2019-11-15","6690,0","обтяження відсутнє",,,,"6578,5","ДОВІРЯЙ ДІЛАМ","Центральний офіс",21676138,"Україна",4,2019
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція ""BAS Бухгалтерія ПРОФ""","Одеська обл., м. Одеса, вул. ТРАНСПОРТНА, буд. 10, кв. 12","2019-11-15","6690,0","обтяження відсутнє",,,,"6244,0","ДОВІРЯЙ ДІЛАМ","Центральний офіс",21676138,"Україна",1,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція ""BAS Бухгалтерія ПРОФ""","Одеська обл., м. Одеса, вул. ТРАНСПОРТНА, буд. 10, кв. 12","2019-11-15","6690,0","обтяження відсутнє",,,,"6244,0","ДОВІРЯЙ ДІЛАМ","Центральний офіс",21676138,"Україна",2,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція ""BAS Бухгалтерія ПРОФ""","Одеська обл., м. Одеса, вул. ТРАНСПОРТНА, буд. 10, кв. 12","2019-11-15","6690,0","обтяження відсутнє",,,,"6244,0","ДОВІРЯЙ ДІЛАМ","Центральний офіс",21676138,"Україна",3,2020
