Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Веб-сайт https://sluganarodu.mk.ua/,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"КП ПК ""Варта"" використання ЕЦП",СЛУГА НАРОДУ,4,2021
Інше-право використання доменного імені,Право використання домену sluganarodu.mk.ua,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,MICROSOFT OFFICE 365,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Сайт КРИВОРІЗЬКОЇ МІСЬКОЇ ОРГАНІЗАЦІЇ ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""ВАРТА""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.E.Doc""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""ВАРТА""",СЛУГА НАРОДУ,4,2021
Право використання доменного імені,Домен sluga-narodu-kr.com ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""М.е.doc"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ Microsoft Office365 ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
