Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Опозиційний блок,Черкаська обласна організація,Черкаська область,39880926,"м. Черкаси, вул. ПЕТРОВСЬКОГО, буд. 163, кв. 99","м. Черкаси, вул. ПЕТРОВСЬКОГО, буд. 163, кв. 99","Черкаська філія ОУ АТ ""Ощадбанк"", МФО 35507, рахунок № 26002301144523"
Опозиційний блок,Чернігівська обласна організація,Чернігівська область,37418136,"м. Чернігів, просп. ПЕРЕМОГИ, буд. 139","м. Чернігів, просп. ПЕРЕМОГИ, буд. 139","ПАТ КБ ""Приватбанк"", МФО 353586, рахунок № 26003051415812"
Опозиційний блок,Чернівецька обласна організація,Чернівецька область,39952906,"м. Чернівці, вул. ГОЛОВНА, буд. 26, кв. 15","м. Чернівці, вул. ГОЛОВНА, буд. 26, кв. 15","ПАТ ""ПУМБ"" відділення №2 в м.  Чернівці, МФО 334851, рахунок № 2600815298"
Опозиційний блок,Київська міська організація,Київ,37311846,"м. Київ, вул.  ВОЛОСЬКА, буд. 6/14","м. Київ, вул.  ВОЛОСЬКА, буд. 6/14","АТ ""Банк  "" Кліринговий дім"", МФО 300647, рахунок № 26008010263"
Опозиційний блок,Бахмутська міська організація,Донецька область,39904680,"Донецька обл., м. Бахмут, вул. ШИРОКА, буд. 4","Донецька обл., м. Бахмут, вул. ШИРОКА, буд. 4","Філія Донецьке ОУ АТ «Ощадбанк», МФО 335106, рахунок № 26001300828840"
Опозиційний блок,Бахмутська районна організація,Донецька область,39907559,"Донецька обл., м. Бахмут, вул. ШИРОКА, буд. 4","Донецька обл., м. Бахмут, вул. ШИРОКА, буд. 4","ТВБВ 10004\0289 Філія ДОУ АТ «Ощадбанк», МФО 335106, рахунок № 26007300828899"
Опозиційний блок,Великоновосілківська районна організація,Донецька область,39947435,"Донецька обл., Великоновосілківський р-н, смт Велика Новосілка, вул. ОКТЯБРСЬКА, буд. 31","Донецька обл., Великоновосілківський р-н, смт Велика Новосілка, вул. ОКТЯБРСЬКА, буд. 31","Філії Донецьке ОУ АТ ""Ощадбанк"", МФО 335106, рахунок № 26009300831787"
Опозиційний блок,Волноваська районна організація,Донецька область,39945202,"Донецька обл., Волноваський р-н, м. Волноваха, вул. 60 РОКІВ СРСР, буд. 14","Донецька обл., Волноваський р-н, м. Волноваха, вул. 60 РОКІВ СРСР, буд. 14","ТВБВ №10004/0312 Філія - Донецьке обласне управління АТ ""Ощадбанк"", МФО 335106, рахунок № 26000300833751"
Опозиційний блок,Володарська районна організація,Донецька область,39913123,"Донецька обл., Володарський р-н, с. Кременівка, вул. ОКТЯБРСЬКА, буд. 11","Донецька обл., Володарський р-н, с. Кременівка, вул. ОКТЯБРСЬКА, буд. 11","ПАТПУМБ, МФО 334851, рахунок № 2600614183"
Опозиційний блок,Вугледарська міська організація,Донецька область,39959058,"Донецька обл., м. Вугледар, вул. 30 РІЧЧЯ ПЕРЕМОГИ, буд. 12, кв. 49","Донецька обл., м. Вугледар, вул. 30 РІЧЧЯ ПЕРЕМОГИ, буд. 12, кв. 49","ПАТ КБ ""Приватбанк"", МФО 335496, рахунок  №26004051823384"
