Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Луганщина""","Україна, 93400, Луганська область, м. Сєвєродонецьк, вул. Курчатова, буд. 23",2015-08-27,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Луганська обласна організація,39825996,Луганська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Дуркований засіб масової інформації ""Партіїна газета”Солідарність .Миколаївщина""","Україна, Миколаїв",2015-09-10,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Миколаївська обласна організація,26029188,Миколаївська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації Партійної газети  ""Солідарність. Полтавщина""","36020, м.Полтава, вул.Котляревського,  22Б, офіс 106-110",2015-08-31,480,обтяження відсутнє,,,,396,Блок Петра Порошенка “Солідарність”,Полтавська обласна організація,26090791,Полтавська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації,"Україна,33000, м.Рвне, вул.Данила Галицького буд.19, офіс 106",2015-08-26,204,обтяження відсутнє,,,,"168,3",Блок Петра Порошенка “Солідарність”,Рівненська обласна організація,39757256,Рівненська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Солідарність.Сумщина""",м.Суми,2015-08-13,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Сумська обласна організація,39587135,Сумська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116,"46001, Тернопіль, вул.Кульчицької,, дом № 2, корпус А, кв.оф.1-50",2016-12-31,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Тернопільська обласна організація,39614425,Тернопільська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Харківщина""","61022, м.Харків, вул.Сумська, б.39, каб.220",2016-08-19,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Харківська обласна організація,39740347,Харківська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Херсонщині""",Хероснська обл. м. Херсон вул. 14. Східна буд.3,2015-09-07,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Херсонська обласна організація,39438699,Херсонська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета "" Солідарність. Хмельниччина""",Україна м.Хмельницький,2015-09-10,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Хмельницька обласна організація,39545645,Хмельницька область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Черкащина""","Україна, м. Черкаси, вул. Сумгаїтська 8/2",2015-09-10,408,обтяження відсутнє,,,,"295,8",Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,39602603,Черкаська область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Солідарність. Буковина""","Україна, м.Чернівці вул.Комарова 13-А",2015-08-31,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Чернівецька обласна організація,39692702,Чернівецька область,3,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Чернігівщина","м. Чернігів, вул. Магістратська 4 кв. 20",2015-08-20,408,обтяження відсутнє,,,,"336,6",Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,39742680,Чернігівська область,3,2018
