Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"Чернігівська обл., Прилуцький р-н, м. Прилуки, вул. Садова, нежитлове приміщення на першому поверсі будівлі №108-В",22.5,,08.02.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Сумська обл., м. Ромни, вул. Коржівська, буд. 121, приміщення 33, частина нежитлового приміщення на першому поверсі будівлі",41.81,,01.07.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Суми, пров. Сурогінський, буд. 4, частина нежитлового приміщення на першому поверсі будинку",171.5,199861559101,05.01.2022,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕЙРЕНА-К"" ",41852835,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Сумська обл., м. Охтирка, вул. Армійська, буд. 1, частина нежитлового приміщення будівлі (літера В 1 на першому поверсі)",65.9,2694939859040,01.04.2023,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СІРІУС ЄС""",44492082,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Сумська обл., м. Шостка, вул. Депутатська, буд. 15, частина нежитлового приміщення на другому поверсі",64.4,1897761259110,01.08.2023,0,Оренда,"ПРИВАТНЕ ПІДПРИЄМСТВО ЗАВОД ""САТЕЛ""",32064547,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Сумська обл., м. Конотоп, просп. Миру, буд. 40/1, частина нежитлового приміщення на першому поверсі",43.5,,01.08.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Житомирська обл., м. Коростень, вул. Грушевського, буд. 17",30.45,2775802,01.11.2021,0,Оренда,"МАЛЕ ПРИВАТНЕ ПІДПРИЄМСТВО ""МЕТА"" (МПП ""МЕТА"")",13580401,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Житомир, вул. Михайлівська, буд. 8/1",192.0,,21.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Житомирська обл., Коростенський р-н, м. Олевськ, вул. Чкалова, буд. 5",34.0,,01.07.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Житомирська обл., м. Бердичів, вул. Шевченка, буд. 18/2",78.5,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Житомирська обл., Коростенський р-н, м. Овруч, вул. С. Бандери 23",49.3,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Житомирська обл., Коростенський р-н, м. Малин, вул. Неманихіна, буд. 11",49.0,1355952618109,01.05.2024,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""Мисливсько-рибальське господарство ""СІРИЙ ВОВК""",45004183,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Житомирська обл., Житомирський р-н, м. Радомишль, вул. Старокиївська, буд. 1/26, приміщення 1",62.9,,05.06.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Житомирська обл., м. Новоград-Волинський, вул. Соборності, буд. 4",39.2,,01.06.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Черкаська обл., м. Золотоноша, вул. Шевченка, буд. 215А",37.0,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Черкаси, бульв. Шевченка, буд. 150, приміщення першого поверху з №111-1 до №111-4, приміщення антресольного поверху з 111-5 до 111-7, А-6-7",103.86,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Черкаська обл., Звенигородський р-н, м. Звенигородка, вул. Шевченка, буд. 6",44.1,,01.06.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Харківська обл., м. Купʼянськ, вул. Сватівська, буд. 51, нежитлове приміщення (офісне) №2 (кабінет №1) на першому поверсі будівлі літера ""Ж 1""",34.3,1089915163107,01.07.2021,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГАРАНТ""",21211474,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Харківська обл., м. Чугуїв, вул. Жадановськго, буд. 2, частина нежитлових приміщень 1-го поверху №73-1-:-73-5 в літ.""А-1""",20.0,,01.12.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Харківська обл., м. Чугуїв, вул. Жадановськго, буд. 2, частина нежитлових приміщень 1-го поверху №73-1-:-73-5 в літ.""А-1""",16.1,,01.01.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Харківська обл., м. Лозова, вул. Грушевського Михайла, буд. 4, приміщення 3, частина нежитлового вбудованого приміщення під літерою ""А-5"" на І поверсі будівлі, літ. ""а 1""-ганок",51.2,,01.12.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Харківська обл., м. Лозова, вул. Грушевського Михайла, буд. 4, приміщення 3, частина нежитлового вбудованого приміщення під літерою ""А-5"" на І поверсі будівлі, літ. ""а 1""-ганок",62.9,,01.01.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Харківська обл., м. Ізюм, пров. Соборний, буд. 3, частина нежитлового приміщення під літ. ""А-5"" на першому поверсі",30.6,,01.05.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Харківська обл., м. Ізюм, пров. Соборний, буд. 3, частина нежитлового приміщення під літ. ""А-5"" на першому поверсі",10.1,,01.08.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Харківська обл., Красноградський р-н, м. Красноград, вул. Преображенська, буд. 6, нежитлове приміщення під літ.""А"" в напівпідвальному поверсі пʼятиповерхового житлового цегляного будинку",92.7,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Харків, вул. Суздальські Ряди, буд. 12, нежитлові приміщення №17; 17а; 26; 26а; 27; 12; 29; 29а; 29б; 29в, що розташовані на першому поверсі та приміщення №1а, що розташоване на четвертому поверсі",295.5,169954263101,01.01.2024,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ИНФОРМ-СЕРВИС""",31555153,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Харківська обл., Богодухівський р-н, м. Богодухів, вул. Шевченка, буд. 11, нежитлове приміщення під літ. ""А-1"" на І поверсі будівлі",70.3,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Дніпропетровська обл., м. Кривий Ріг, вул. Зінчевського Миколи, буд. 2, нежитлове приміщення №22 на першому поверсі",120.5,,01.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Дніпропетровська обл., м. Кривий Ріг, просп. Перемоги, буд. 13, нежитлове технічно оснащене приміщення № 41 на першому поверсі",54.8,,01.08.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Дніпропетровська обл., м. Кривий Ріг, вул. Матусевича Віталія, буд. 8, частина нежитлового приміщення №124 на першому поверсі",243.3,,03.11.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Тернопільська обл., м. Кременець, вул. Шевченка, буд. 58А/2",66.8,,02.01.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Тернопільська обл., м. Чортків, вул. Олеся Гончара, буд. 6 В",70.6,1541992461103,06.03.2023,0,Оренда,"ПРИВАТНЕ АГРОПРОМИСЛОВЕ ПІДПРИЄМСТВО ""ДЗВІН """,30787900,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Тернопіль, вул. Чорновола, буд. 1, №№2-11, 2-12 та №№2-17, 2-18, 2-19, 2-20",90.1,86803461101,01.01.2024,0,Оренда,"АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРТЕЛЕКОМ""",21560766,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Хмельницька обл., Камʼянець-Подільський р-н, м. Дунаївці, вул. Шевченко, буд. 92/23, частина нежитлового приміщення на першому поверсі",38.3,,09.02.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Хмельницька обл., м. Старокостянтинів, вул. Попова, буд. 19, бокс 22, нежитлове приміщення на першому поверсі",39.1,,20.02.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Хмельницький, вул. Подільська, буд. 109, нежитлове приміщення-частина третього поверху",97.4,2379461168101,01.04.2023,0,Оренда,ПРОСКУРІВ ІНВЕСТ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,45083050,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Хмельницька обл., м. Камʼянець-Подільський, вул. Лесі Українки, буд. №41б, нежитлове приміщення на першому поверсі",35.6,12211167,05.06.2023,0,Оренда,"ПОДІЛЛЯ ЛІКУВАЛЬНО-СПОРТИВНИЙ ОЗДОРОВЧИЙ КОМПЛЕКС, ПРИВАТНЕ ПІДПРИЄМСТВО",32009685,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Хмельницька обл., Хмельницький р-н, м. Деражня, вул. Миру, буд. 24, нежиле приміщення 2",54.7,,02.10.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
