Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"м. Київ, вул. Шепелєва Миколи, будівля №13, нежитлові приміщення з №1 по №9 (групи приміщень №130) на першому поверсі",82.2,,09.09.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, вул. Празька, буд. №18, нежитлове приміщення з №1 по №5 (групи приміщень №58а) ( в літері А) на першому поверсі",60.0,,20.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, вул. Заньковецької, буд. №3/1, приміщення №1",90.9,,18.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, вул. Градинська, буд. 3, приміщення 235",62.0,,15.11.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, вул. Героїв Дніпра, буд. 31А, частина нежитлового приміщення з №8 по №27 (групи приміщень №1) 1 поверх літ. ""А""",37.3,,14.12.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, просп. Лобановського Валерія, буд. 144, приміщення 2-О",51.3,,01.06.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, просп. Бажана Миколи, буд. 26, частина нежитлового приміщення №1 на першому поверсі",50.4,,20.01.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, вул. Булгакова, буд. 15А, приміщення 2, група нежитлових приміщень в літ. ""Б""",44.8,,14.02.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, вул. Костянтинівська/Фролівська, буд. 1/2, частина нежитлового приміщення в літ ""А""",117.8,,16.11.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, вул. Гончара Олеся, буд. 47/49, нежитлові приміщення з №1 по №6 ( групи приміщень №31) в літері ""А""",79.3,,05.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Луганська обл., м. Сєвєродонецьк, просп. Гвардійський, буд. 47/22",46.8,,17.02.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Луганська обл., Новоайдарський р-н, смт Новоайдар, вул. Незалежності, буд. 1",53.5,,21.07.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Луганська обл., Сватівський р-н, м. Сватове, вул. Леніна (вул. Державна; вул. Каштанова), буд. 60, частина приміщення на другому поверсі ""Торгівельно-офісного центру""",45.8,,06.08.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Луганська обл., Старобільський р-н, м. Старобільськ, вул. Миру, буд. 6А",54.3,,14.01.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Полтава, вул. Сковороди, буд. 2В, нежитлове приміщення №16",84.9,,18.07.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Полтавська обл., м. Кременчук, вул. Соборна, буд. 40/2, нежитлове приміщення №10",45.51,,07.11.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Полтавська обл., м. Пирятин, вул. Соборна, буд. 18А, нежитлове приміщення №18",23.0,,02.11.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Вінниця, вул. Магістратська, буд. 156А, 1-й поверх, 2 підʼїзд, частина нежитлового приміщення № 143",65.0,,11.06.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Чернівці, вул. БАНДЕРИ СТЕПАНА, буд. 9",102.6,,17.05.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Волинська обл., м. Ковель, вул. Шевченка Тараса, буд. 2Б/1, нежитлове приміщення №2 на першому поверсі",26.04,,01.10.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Луцьк, вул. Набережна, буд. 4А, нежитлове приміщення 144 на першому поверсі",43.4,,01.07.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Луцьк, вул. Набережна, буд. 4А, нежитлове приміщення 144 на першому поверсі",71.2,,13.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Волинська обл., м. Володимир-Волинський, вул. Князя Василька, буд. 1, офісне приміщення на першому поверсі",46.3,,01.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Волинська обл., м. Камінь-Каширський, вул. Шевченка, буд. 5, нежитлове приміщення №1-4 на другому поверсі",17.8,,01.11.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Запоріжжя, бульв. Центральний, буд. 3, частина нежитлового приміщення № 328 на першому поверсі будівлі",167.0,,01.08.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
