Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Office Home and Business 2016 32/64 Russian DVD P2 (5 ліцензії),"Донецька обл., м. Маріуполь, вул. Куїнджі, буд. 47",2017-11-24,28645,обтяження відсутнє,,,,28645,Опозиційний блок,Донецька обласна організація,39751914,Донецька область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8 (шт.1)","м. Житомир, вул. Домбровського, буд. 86, к. 257",2017-10-23,3300,обтяження відсутнє,,,,2640,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція .MS,Windows 10 (шт.5)","м. Житомир, вул. Домбровського, буд. 86, к. 257",2017-11-24,15605,обтяження відсутнє,,,,"14044,5",Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція .MS,Office Home and Business 2016 32/64 (шт.5)","м. Житомир, вул. Домбровського, буд. 86, к. 257",2017-11-24,28645,обтяження відсутнє,,,,"25780,5",Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","Закарпатська обл., Ужгородський р-н, с. Барвінок. вул. Егана, буд. 50",2017-10-23,3300,обтяження відсутнє,,,,3300,Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Windows 10 Home 64 bit Russian 1pk DVD (4 ліцензії),"Закарпатська обл., Ужгородський р-н, с. Барвінок. вул. Егана, буд. 50",2017-11-29,12484,обтяження відсутнє,,,,12484,Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Office Home and Business 2016 32/64 Russian DVD P2 (4 ліцензії),"Закарпатська обл., Ужгородський р-н, с. Барвінок. вул. Егана, буд. 50",2017-11-29,22916,обтяження відсутнє,,,,22916,Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD,"м. Запоріжжя, бульв. Шевченка, буд. 23",2017-11-21,21847,обтяження відсутнє,,,,"21482,88",Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",програмна продукція MS Office Home and Business 2016 32/16 Russian DVD P2,"м. Запоріжжя, бульв. Шевченка, буд. 23",2017-11-21,40103,обтяження відсутнє,,,,"39434,62",Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","м. Запоріжжя, бульв. Шевченка, буд. 23",2017-10-24,3300,обтяження відсутнє,,,,3190,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Бухгалтерія""","м. Івано-Франківськ, вул. Незалежності, буд. 67",2017-10-25,3300,обтяження відсутнє,,,,3025,Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Windows,"м. Івано-Франківськ, вул. Незалежності, буд. 67",2017-11-29,6242,обтяження відсутнє,,,,"5801,92",Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Office,"м. Івано-Франківськ, вул. Незалежності, буд. 67",2017-11-29,11458,обтяження відсутнє,,,,"10980,58",Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська","м. Київ, вул. Волоська, буд. 6/14",2017-10-24,3300,обтяження відсутнє,,,,"3025,84",Опозиційний блок,Київська міська організація,37311846,Київ,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Office Home and Business 20,"м. Київ, вул. Волоська, буд. 6/14",2017-11-21,40103,обтяження відсутнє,,,,"38432,04",Опозиційний блок,Київська міська організація,37311846,Київ,4,2017
